,time,HRF
2441,2.441,0.16660460790290987
2442,2.442,0.1666799975955288
2443,2.443,0.16675528571024686
2444,2.444,0.16683047219270197
2445,2.445,0.16690555698892665
2446,2.446,0.16698054004506913
2447,2.447,0.1670554213076014
2448,2.448,0.16713020072317075
2449,2.449,0.1672048782387565
2450,2.45,0.16727945380151366
2451,2.451,0.16735392735889515
2452,2.452,0.1674282988585592
2453,2.453,0.1675025682484479
2454,2.454,0.16757673547671895
2455,2.455,0.16765080049178316
2456,2.456,0.167724763242321
2457,2.457,0.16779862367719992
2458,2.458,0.167872381745633
2459,2.459,0.16794603739695277
2460,2.46,0.16801959058086705
2461,2.461,0.16809304124720964
2462,2.462,0.16816638934614403
2463,2.463,0.16823963482801743
2464,2.464,0.16831277764350613
2465,2.465,0.16838581774342798
2466,2.466,0.16845875507891098
2467,2.467,0.16853158960133335
2468,2.468,0.16860432126226044
2469,2.469,0.16867695001355285
2470,2.47,0.16874947580732533
2471,2.471,0.1688218985958788
2472,2.472,0.16889421833180565
2473,2.473,0.16896643496790142
2474,2.474,0.1690385484572552
2475,2.475,0.16911055875316877
2476,2.476,0.16918246580920349
2477,2.477,0.16925426957911158
2478,2.478,0.16932597001695995
2479,2.479,0.16939756707703163
2480,2.48,0.16946906071384452
2481,2.481,0.1695404508821568
2482,2.482,0.1696117375369489
2483,2.483,0.16968292063350499
2484,2.484,0.16975400012731492
2485,2.485,0.1698249759740789
2486,2.486,0.1698958481297985
2487,2.487,0.169966616550664
2488,2.488,0.17003728119317976
2489,2.489,0.17010784201397472
2490,2.49,0.1701782989700357
2491,2.491,0.17024865201852168
2492,2.492,0.1703189011168709
2493,2.493,0.17038904622273612
2494,2.494,0.1704590872939979
2495,2.495,0.1705290242888376
2496,2.496,0.1705988571655931
2497,2.497,0.17066858588291156
2498,2.498,0.17073821039963813
2499,2.499,0.17080773067490926
2500,2.5,0.17087714666802573
2501,2.501,0.17094645833859337
2502,2.5020000000000002,0.17101566564640514
2503,2.503,0.17108476855153523
2504,2.504,0.1711537670143236
2505,2.505,0.17122266099521458
2506,2.5060000000000002,0.17129145045506775
2507,2.507,0.17136013535485378
2508,2.508,0.1714287156558175
2509,2.509,0.17149719131947555
2510,2.5100000000000002,0.1715655623075406
2511,2.511,0.17163382858197965
2512,2.512,0.17170199010501386
2513,2.513,0.1717700468390434
2514,2.5140000000000002,0.1718379987467901
2515,2.515,0.1719058457911536
2516,2.516,0.17197358793527337
2517,2.517,0.17204122514254624
2518,2.5180000000000002,0.17210875737661682
2519,2.519,0.17217618460129344
2520,2.52,0.172243506780765
2521,2.521,0.17231072387927457
2522,2.5220000000000002,0.17237783586144545
2523,2.523,0.17244484269207525
2524,2.524,0.17251174433620137
2525,2.525,0.17257854075910836
2526,2.5260000000000002,0.17264523192630266
2527,2.527,0.17271181780354533
2528,2.528,0.17277829835681222
2529,2.529,0.17284467355229247
2530,2.5300000000000002,0.17291094335651322
2531,2.531,0.17297710773610503
2532,2.532,0.17304316665798827
2533,2.533,0.1731091200893563
2534,2.5340000000000003,0.17317496799757537
2535,2.535,0.17324071035027946
2536,2.536,0.17330634711531254
2537,2.537,0.1733718782607953
2538,2.5380000000000003,0.17343730375501526
2539,2.539,0.17350262356657886
2540,2.54,0.17356783766423142
2541,2.541,0.17363294601702334
2542,2.5420000000000003,0.17369794859419166
2543,2.543,0.17376284536525852
2544,2.544,0.17382763629993084
2545,2.545,0.17389232136815008
2546,2.5460000000000003,0.17395690054011628
2547,2.547,0.1740213737862521
2548,2.548,0.17408574107719416
2549,2.549,0.17415000238383938
2550,2.5500000000000003,0.17421415767728626
2551,2.551,0.17427820692888857
2552,2.552,0.17434215011020676
2553,2.553,0.17440598719304912
2554,2.5540000000000003,0.17446971814947576
2555,2.555,0.17453334295174938
2556,2.556,0.17459686157234483
2557,2.557,0.17466027398400266
2558,2.5580000000000003,0.17472358015966116
2559,2.559,0.17478678007253187
2560,2.56,0.1748498736960412
2561,2.561,0.17491286100379355
